Testcase;Equation;Scheme;TimeIntegration;Trafo;Oversample;PolySpace;Degree;Mesh;Restart;Tracking;Source;Flux;Filtering;Material
navierstokes/2D/constant_state;navier_stokes_2d;modg_2d;explicitEuler;FPT;2;Q;2;line;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
navierstokes/2D/shear_hat;navier_stokes_2d;modg_2d;explicitRungeKutta;FPT;1;Q;3;line;-;Point/use_get_point/ASCII;-;HLL;None;No
navierstokes/2D/viscous_vortex;navier_stokes_2d;modg_2d;explicitRungeKutta;FPT;1;P;7;cube;-;Point/ndofs=1/ASCII;luafun;LaxFriedrich;None;No
navierstokes/3D/shear_hat;navier_stokes;modg;explicitRungeKutta;FPT;1;Q;3;line;-;Point/use_get_point/ASCII;-;LaxFriedrich;None;No
navierstokes/3D/shear_tube;navier_stokes;modg;explicitSSPRungeKutta;FPT;3;Q;3;cube;-;Point/use_get_point/ASCII;-;LaxFriedrich;cons_positivity_preserv;No
euler/1D/modalEstimate;euler_1d;modg_1d;explicitRungeKutta;L2P;1;-;63;line;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/1D/shock_stabilization_parallel;euler_1d;modg_1d;explicitRungeKuttaTaylor;FPT;2;-;4;line_bounded;-;Point/ndofs=1/ASCII;-;LaxFriedrich;covolume, spectral;No
euler/1D/toro1_x;euler_1d;modg_1d;explicitRungeKutta;FPT;1;-;3;seeder;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/2D/gauss_densitypulse_spongelayer;euler_2d;modg_2d;explicitRungeKutta;FPT;1;Q;3;slice;-;Point/ndofs=1/ASCII;spongelayer;LaxFriedrich;None;No
euler/2D/modalEstimate;euler_2d;modg_2d;explicitRungeKutta;L2P;1;Q;31;slice;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/2D/shock_stabilization_parallel;euler_2d;modg_2d;explicitRungeKuttaTaylor;FPT;2;Q;4;slice;-;Point/ndofs=1/ASCII;-;LaxFriedrich;covolume, spectral;No
euler/2D/toro1_x;euler_2d;modg_2d;explicitRungeKutta;FPT;1;Q;3;line_bounded;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/2D/toro1_y;euler_2d;modg_2d;explicitRungeKutta;FPT;1;Q;3;seeder;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/2D/toro2_x;euler_2d;modg_2d;explicitSSPRungeKutta;L2P;1;Q;0;line_bounded;-;Point/ndofs=1/ASCII;-;Godunov;None;No
euler/2D/toro3_x;euler_2d;modg_2d;explicitRungeKutta;L2P;1;Q;0;line_bounded;-;Point/ndofs=1/ASCII;-;Godunov;None;No
euler/2D/toro4_x;euler_2d;modg_2d;explicitSSPRungeKutta;L2P, Chebyshev-Lobatto;3;Q;3;line_bounded;-;Point/ndofs=1/ASCII;-;Godunov;cons_positivity_preserv;No
euler/2D/vorticity;euler_2d;modg_2d;explicitRungeKutta;L2P;1;Q;5;slice;-;Point/use_get_point/ASCII;-;LaxFriedrich;None;No
euler/3D/gauss_densitypulse_deriv_quantity;euler;modg;explicitRungeKutta;FPT;1;Q;7;cube;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/3D/gauss_densitypulse_fpt;euler;modg;explicitRungeKutta;FPT;1;Q;7;cube;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/3D/gauss_densitypulse_fxt;euler;modg;explicitRungeKutta;FXT;2;Q;6;cube;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/3D/gauss_densitypulse_l2p;euler;modg;explicitRungeKutta;L2P;2;Q;6;cube;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/3D/gauss_densitypulse_spongelayer;euler;modg;explicitRungeKutta;FPT;1;Q;3;cube;-;Point/ndofs=1/ASCII;spongelayer;LaxFriedrich;None;No
euler/3D/modalEstimate;euler;modg;explicitRungeKutta;L2P;1;Q;19;cube;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/3D/multilevel;euler;modg;imexRungeKutta;FPT;1;Q;7;cube;-;Point/use_get_point/ASCII;-;LaxFriedrich;None;by shape
euler/3D/overview;euler;modg;explicitRungeKutta;L2P;1;Q;11;cube;yes;Point/use_get_point/ASCII;-;HLL;None;No
euler/3D/p_polynomials;euler;modg;explicitRungeKutta;FPT;1;P;7;seeder;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/3D/qCriterion_deriv_quantity;euler;modg;explicitRungeKutta;FPT;1;Q;4;cube;-;Point/use_get_point/ASCII;-;LaxFriedrich;None;No
euler/3D/shear_layer_Q4;euler;modg;explicitRungeKutta;FPT;1;Q;3;seeder;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/3D/shear_layer_Q8;euler;modg;explicitRungeKutta;FPT;1;Q;7;seeder;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/3D/shock_stabilization_localrefinement;euler;modg;explicitSSPRungeKutta;L2P, Chebyshev;2;Q;3;seeder;-;Point/ndofs=1/ASCII;-;Godunov;covolume, spectral;No
euler/3D/shock_stabilization_parallel;euler;modg;explicitRungeKuttaTaylor;FPT;2;Q;4;seeder;-;Point/ndofs=1/ASCII;-;LaxFriedrich;covolume, spectral;No
euler/3D/shock_stabilization_periodic;euler;modg;explicitSSPRungeKutta;L2P;2;Q;4;seeder;-;Point/ndofs=1/ASCII;-;LaxFriedrich;covolume, spectral;No
euler/3D/toro1_x;euler;modg;explicitRungeKutta;FPT;1;Q;3;seeder;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/3D/toro1_y;euler;modg;explicitRungeKutta;FPT;1;Q;3;seeder;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/3D/toro1_z;euler;modg;explicitRungeKutta;FPT;1;Q;3;seeder;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
euler/3D/vorticity;euler;modg;explicitRungeKutta;FPT;1;Q;4;seeder;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
lineareuler/3D/gauss_pulse;linearEuler;modg;explicitRungeKutta;L2P, Chebyshev;1;Q;12;line_bounded;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
lineareuler/3D/gradient;linearEuler;modg;explicitRungeKuttaTaylor;L2P;1;Q;11;cube;-;Point/use_get_point/ASCII;-;Godunov;None;No
lineareuler/3D/transientBackground;linearEuler;modg;explicitRungeKutta;FPT;1;Q;13;line;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
lineareuler/2D/gauss_pulse;linearEuler_2d;modg_2d;explicitRungeKutta;FPT;1;Q;12;slice;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No
lineareuler/2D/transientBackground;linearEuler_2d;modg_2d;explicitRungeKutta;L2P;1;P;19;slice;-;Point/ndofs=1/ASCII;-;LaxFriedrich;None;No